year,Fuel [Tg/yr],CO2 [Tg/yr],distance [million km]
1980,128.732,406.79312,9350
1981,126.552,399.90432,9113
1982,128.181,405.05196,9140
1983,130.347,411.89652,9395
1984,139.045,439.3822,10102
1985,143.439,453.26724,10598
1986,151.484,478.68944,11491
1987,158.448,500.69568,12266
1988,166.128,524.96448,13017
1989,172.991,546.65156,13493
1990,173.929,549.61564,14371
1991,168.203,531.52148,14262
1992,168.593,532.75388,15690
1993,169.513,535.66108,17118
1994,177.599,561.21284,18249
1995,181.923,574.87668,19470
1996,190.157,600.89612,20601
1997,195.947,619.19252,21630
1998,199.811,631.40276,22438
1999,206.256,651.76896,23742
2000,216.938,685.52408,25981.555983434
2001,208.673,659.40668,26157.107037377
2002,209.095,660.7402,25506.535484532
2003,208.964,660.32624,26559.841808185
2004,222.109,701.86444,30122.495549952
2005,233.025,736.359,31857.353024203
2006,235.742,744.94472,33179.149195062
2007,242.588,766.57808,34934.659734483
2008,241.466,763.03256,35768.812336525
2009,228.984,723.58944,34867.55989592
2010,240.546,760.12536,38366.260844494
2011,247.68,782.6688,40440.565850363
2012,250.361,791.14076,41453.556513315
2013,257.477,813.62732,42739.828765855
2014,265.577,839.22332,44460.402842748
2015,280.081,885.05596,46703.839363554
2016,293.627,927.86132,49203.544878767
2017,310.950993,982.60513788,51588.36689657
2018,327.120444636,1033.70060504976,52610.6
