year,mean total ERF [mW/m^2],median total ERF [mW/m^2],5th percentile total ERF [mW/m^2],95th percentile total ERF [mW/m^2]
2000,56.4744575642852,56.77572922,31.5896039,80.3491183
2001,57.065278888036,57.30924899,32.44302588,80.8548845
2002,56.9567021851594,57.22889815,32.67799932,80.21732313
2003,58.6603082503146,58.89594109,33.69709282,82.73078122
2004,63.5738373362221,63.82024867,35.97770063,90.34862012
2005,66.4529052883918,66.70240112,37.35815572,94.71808969
2006,68.6930120306247,68.94844405,38.56995114,97.8836201
2007,71.5814548686975,71.8005087,40.10819284,102.24625694
2008,73.2189128357493,73.44933639,41.14571616,104.43207591
2009,72.5077413462385,72.71109272,41.43607567,102.82878549
2010,77.401742651382,77.60805438,43.58380473,110.47977381
2011,80.1759582086506,80.37515572,44.95731948,114.71003329
2012,81.9157008588526,82.069617,45.97989845,117.26327242
2013,84.0805518572553,84.27895912,47.02771542,120.43744912
2014,86.8463531073504,87.04764727,48.50531036,124.5586503
2015,90.3590827829699,90.55083553,50.07865787,129.90459041
2016,94.3075396311817,94.51718734,51.8701799,136.02707784
2017,98.2273302350704,98.44309684,53.71061812,141.95961884
2018,100.671598245024,100.94644456,55.17855598,145.39917577
